NBA Team,Position,Player Name,Country,State,Sales,Target,Percentage
New York Knicks,Power Forward,Kristaps Porzngis,USA,AK,"$3,805,151","$4,233,128",90%
New York Knicks,Power Forward,Kristaps Porzngis,USA,AZ,"$648,205","$2,342,123",28%
New York Knicks,Power Forward,Kristaps Porzngis,USA,AR,"$1,419,837","$2,624,941",54%
New York Knicks,Power Forward,Kristaps Porzngis,USA,CA,"$4,248,834","$5,022,659",85%
New York Knicks,Power Forward,Kristaps Porzngis,USA,CO,"$3,510,956","$4,737,166",74%
New York Knicks,Power Forward,Kristaps Porzngis,USA,CT,"$2,107,690","$2,134,075",99%
New York Knicks,Power Forward,Kristaps Porzngis,USA,DE,"$1,598,834","$3,673,178",44%
New York Knicks,Power Forward,Kristaps Porzngis,USA,FL,"$1,580,779","$2,927,390",54%
New York Knicks,Power Forward,Kristaps Porzngis,USA,GA,"$3,227,674","$5,016,308",64%
New York Knicks,Power Forward,Kristaps Porzngis,USA,HI,"$3,444,503","$3,905,328",88%
New York Knicks,Power Forward,Kristaps Porzngis,USA,ID,"$1,828,850","$2,293,504",80%
New York Knicks,Power Forward,Kristaps Porzngis,USA,IL,"$4,459,491","$5,827,977",77%
New York Knicks,Power Forward,Kristaps Porzngis,USA,IN,"$1,801,124","$3,721,710",48%
New York Knicks,Power Forward,Kristaps Porzngis,USA,IA,"$3,696,736","$5,747,253",64%
New York Knicks,Power Forward,Kristaps Porzngis,USA,KS,"$2,394,628","$3,018,246",79%
New York Knicks,Power Forward,Kristaps Porzngis,USA,KY,"$1,817,371","$2,054,617",88%
New York Knicks,Power Forward,Kristaps Porzngis,USA,LA,"$4,756,957","$4,916,137",97%
New York Knicks,Power Forward,Kristaps Porzngis,USA,ME,"$1,826,390","$3,665,747",50%
New York Knicks,Power Forward,Kristaps Porzngis,USA,MD,"$3,481,651","$3,974,351",88%
New York Knicks,Power Forward,Kristaps Porzngis,USA,MA,"$4,236,927","$4,530,781",94%
New York Knicks,Power Forward,Kristaps Porzngis,USA,MI,"$2,539,793","$4,770,775",53%
New York Knicks,Power Forward,Kristaps Porzngis,USA,MN,"$4,326,609","$5,111,248",85%
New York Knicks,Power Forward,Kristaps Porzngis,USA,MS,"$2,155,364","$4,524,447",48%
New York Knicks,Power Forward,Kristaps Porzngis,USA,MO,"$2,439,332","$4,692,694",52%
New York Knicks,Power Forward,Kristaps Porzngis,USA,MT,"$1,706,446","$1,761,627",97%
New York Knicks,Power Forward,Kristaps Porzngis,USA,NE,"$3,213,095","$3,441,085",93%
New York Knicks,Power Forward,Kristaps Porzngis,USA,NV,"$3,791,887","$6,251,358",61%
New York Knicks,Power Forward,Kristaps Porzngis,USA,NH,"$1,742,736","$3,621,286",48%
New York Knicks,Power Forward,Kristaps Porzngis,USA,NJ,"$4,406,051","$5,164,073",85%
New York Knicks,Power Forward,Kristaps Porzngis,USA,NM,"$2,429,549","$2,449,338",99%
New York Knicks,Power Forward,Kristaps Porzngis,USA,NY,"$1,929,149","$3,406,866",57%
New York Knicks,Power Forward,Kristaps Porzngis,USA,NC,"$958,939","$2,705,784",35%
New York Knicks,Power Forward,Kristaps Porzngis,USA,ND,"$3,706,780","$6,070,518",61%
New York Knicks,Power Forward,Kristaps Porzngis,USA,OH,"$3,571,104","$4,538,093",79%
New York Knicks,Power Forward,Kristaps Porzngis,USA,OK,"$1,319,440","$2,274,762",58%
New York Knicks,Power Forward,Kristaps Porzngis,USA,OR,"$2,546,969","$4,983,945",51%
New York Knicks,Power Forward,Kristaps Porzngis,USA,PA,"$4,330,748","$6,340,343",68%
New York Knicks,Power Forward,Kristaps Porzngis,USA,RI,"$3,532,138","$4,976,106",71%
New York Knicks,Power Forward,Kristaps Porzngis,USA,SC,"$2,306,186","$3,447,603",67%
New York Knicks,Power Forward,Kristaps Porzngis,USA,SD,"$3,480,332","$5,771,831",60%
New York Knicks,Power Forward,Kristaps Porzngis,USA,TN,"$1,520,791","$2,709,844",56%
New York Knicks,Power Forward,Kristaps Porzngis,USA,TX,"$1,882,805","$3,675,731",51%
New York Knicks,Power Forward,Kristaps Porzngis,USA,UT,"$4,627,443","$4,811,568",96%
New York Knicks,Power Forward,Kristaps Porzngis,USA,VT,"$3,549,574","$4,003,186",89%
New York Knicks,Power Forward,Kristaps Porzngis,USA,VA,"$1,853,479","$3,012,895",62%
New York Knicks,Power Forward,Kristaps Porzngis,USA,WA,"$4,800,976","$5,644,669",85%
New York Knicks,Power Forward,Kristaps Porzngis,USA,WV,"$4,956,183","$4,962,167",100%
New York Knicks,Power Forward,Kristaps Porzngis,USA,WI,"$4,610,161","$6,139,639",75%
New York Knicks,Power Forward,Kristaps Porzngis,USA,WY,"$2,737,029","$4,396,542",62%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,AL,"$4,170,204","$4,668,774",89%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,AK,"$3,810,817","$5,060,597",75%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,AZ,"$8,353,530","$10,434,142",80%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,AR,"$4,510,975","$6,752,042",67%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,CA,"$8,592,854","$9,365,487",92%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,CO,"$7,079,815","$7,965,878",89%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,CT,"$6,169,534","$7,911,805",78%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,DE,"$5,325,597","$5,932,069",90%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,FL,"$6,013,287","$7,005,377",86%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,GA,"$7,518,561","$8,007,899",94%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,HI,"$2,557,082","$3,169,244",81%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,ID,"$8,236,416","$8,810,666",93%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,IL,"$3,136,834","$4,636,852",68%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,IN,"$2,736,215","$4,128,281",66%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,IA,"$8,888,878","$10,972,148",81%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,KS,"$6,613,023","$7,058,644",94%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,KY,"$1,346,950","$2,989,997",45%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,LA,"$8,018,339","$8,484,844",95%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,ME,"$2,540,347","$4,136,210",61%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,MD,"$8,905,785","$9,551,471",93%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,MA,"$1,767,142","$3,541,516",50%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,MI,"$4,229,543","$6,326,668",67%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,MN,"$1,754,258","$3,132,197",56%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,MS,"$8,420,122","$10,595,891",79%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,MO,"$3,804,491","$4,541,275",84%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,MT,"$8,413,613","$9,650,120",87%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,NE,"$9,682,096","$9,755,023",99%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,NV,"$8,995,098","$10,587,176",85%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,NH,"$9,541,860","$10,713,256",89%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,NJ,"$4,882,073","$4,945,690",99%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,NM,"$9,637,690","$9,792,305",98%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,NY,"$1,144,244","$1,610,704",71%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,NC,"$7,845,406","$9,929,505",79%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,ND,"$1,099,641","$1,534,162",72%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,OH,"$2,208,974","$4,502,527",49%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,OK,"$8,255,282","$10,169,463",81%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,OR,"$7,661,644","$8,927,517",86%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,PA,"$4,172,087","$5,567,929",75%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,RI,"$1,243,765","$2,224,365",56%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,SC,"$7,132,864","$8,610,468",83%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,SD,"$9,037,600","$9,481,479",95%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,TN,"$5,928,698","$7,131,327",83%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,TX,"$5,351,992","$5,891,687",91%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,UT,"$1,546,670","$2,138,848",72%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,VT,"$1,872,717","$3,512,284",53%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,VA,"$9,598,273","$9,732,762",99%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,WA,"$1,498,141","$3,626,861",41%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,WV,"$4,024,902","$5,452,637",74%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,WI,"$8,112,361","$8,295,405",98%
Oklahoma City Thunder,Small Forward,Kevin Durant,USA,WY,"$3,195,890","$3,874,768",82%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,AL,"$3,262,340","$4,468,123",73%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,AK,"$1,843,702","$4,146,518",44%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,AZ,"$2,081,001","$3,274,685",64%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,AR,"$3,761,470","$5,197,017",72%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,CA,"$2,150,268","$2,648,856",81%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,CO,"$1,109,894","$3,320,228",33%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,CT,"$4,712,517","$5,443,187",87%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,DE,"$4,915,624","$6,956,893",71%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,FL,"$4,495,027","$6,436,054",70%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,GA,"$4,719,239","$6,628,472",71%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,HI,"$3,185,047","$4,850,346",66%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,ID,"$1,432,744","$3,401,238",42%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,IL,"$2,171,870","$2,896,752",75%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,IN,"$1,487,979","$2,607,346",57%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,IA,"$980,049","$2,447,798",40%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,KS,"$3,390,366","$4,706,287",72%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,KY,"$3,282,225","$3,314,502",99%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,LA,"$1,315,498","$1,829,956",72%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,ME,"$4,994,079","$6,046,300",83%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,MD,"$4,561,281","$4,912,195",93%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,MA,"$4,125,087","$4,308,097",96%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,MI,"$4,006,142","$5,452,938",73%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,MN,"$787,615","$1,612,543",49%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,MS,"$2,809,893","$3,449,723",81%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,MO,"$3,198,422","$3,784,497",85%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,MT,"$2,877,860","$4,610,322",62%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,NE,"$2,682,478","$4,638,030",58%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,NV,"$995,917","$1,543,639",65%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,NH,"$1,149,036","$3,181,368",36%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,NJ,"$3,248,022","$3,285,238",99%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,NM,"$995,896","$1,308,309",76%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,NY,"$4,764,296","$5,370,686",89%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,NC,"$1,227,400","$2,967,969",41%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,ND,"$659,731","$1,813,557",36%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,OH,"$1,746,210","$3,933,950",44%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,OK,"$2,755,408","$4,972,991",55%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,OR,"$4,462,072","$6,201,004",72%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,PA,"$3,258,595","$5,736,067",57%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,RI,"$1,229,214","$2,579,950",48%
Oklahoma City Thunder,Point Guard,Russell Westbrook,USA,SC,"$3,754,599","$6,203,239",61%
